block_number,log_index,z,trade_size_usdc,adverse_slippage,z_cap_roll,scale_roll,size_eff_roll,cost_eff_roll
410745650,181,2.636387481924973e-07,16843257755.880787,0.0,,,,
410745650,187,2.6603710722107603e-07,16996483257.012356,0.0,,,,
410745650,190,9.273331250795959e-08,5924512598.534091,0.0,,,,
410745650,209,1.825833899366327e-07,11664822108.773434,0.0,,,,
410745651,183,1.1709218045962001e-07,7480743214.724508,0.0,,,,
410745651,192,1.9405844131983167e-08,1239793607.450989,0.0,,,,
410745651,235,4.1693147823849926e-07,26636768694.501377,0.0005236199686156206,,,,
410745651,277,9.91544844627704e-07,63347461285.86898,0.0,,,,
410745652,68,9.739874547770834e-07,62225761062.35494,0.0005548257285990643,,,,
410745652,95,5.116566617468793e-08,3268853723.286435,0.0,,,,
410745652,109,1.654727990883982e-08,1057166681.962072,0.0,,,,
410745652,165,5.852332397537133e-07,37389171250.667816,0.0,,,,
410745652,226,4.879230718872158e-07,31172254159.077377,0.0005275950673936647,,,,
410745652,253,3.010249493774219e-07,19231773963.714993,0.0,,,,
410745653,7,2.311904250767182e-07,14770210930.510048,0.0005132065972277083,,,,
410745653,173,1.7322305321385622e-06,110668122745.42065,0.0,,,,
410745653,225,8.271375538657381e-07,52843867279.92296,0.0,,,,
410745654,348,2.5832844774510194e-07,16499546364.3136,0.0005147352459230626,,,,
410745656,186,1.87353269420204e-07,11969558457.87648,0.0005107545192838309,,,,
